sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKWeatherHumidity,HKAverageMETs,HKWeatherTemperature,HKIndoorWorkout,HKTimeZone,HKElevationAscended
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2022-12-28 20:11:01 +0000,2022-12-28 21:10:50 +0000,Running,3579.899173974991,sec,704.35 kcal,9664.47 m,,,,10.6758 kcal/hr·kg,,0,America/New_York,1987 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-17 20:28:52 +0000,2023-01-17 21:50:58 +0000,Running,4596.403591036797,sec,1032.42 kcal,12884.4 m,,,6300 %,11.7983 kcal/hr·kg,35.6 degF,0,America/Denver,
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-25 22:11:37 +0000,2023-01-25 23:44:37 +0000,Running,5572.912414073944,sec,1031.86 kcal,12899.6 m,,,,10.114 kcal/hr·kg,,0,America/Denver,16619 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-27 02:34:02 +0000,2023-01-27 03:45:28 +0000,Running,4245.611861944199,sec,788.343 kcal,9681.9 m,,,4100 %,10.1166 kcal/hr·kg,26.6 degF,0,America/Denver,3753 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-28 16:15:43 +0000,2023-01-28 19:51:37 +0000,Running,12923.274479985237,sec,2767.69 kcal,32188.1 m,,,,11.5132 kcal/hr·kg,,0,America/Denver,48685 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-29 22:41:08 +0000,2023-01-29 23:33:54 +0000,Running,2720.495964050293,sec,464.056 kcal,6607.04 m,,,,10.6744 kcal/hr·kg,,0,America/Denver,1156 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-31 21:45:30 +0000,2023-01-31 21:57:44 +0000,Running,449.381630897522,sec,89.8253 kcal,1096.71 m,,,,6.52216 kcal/hr·kg,,0,America/Denver,2945 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-31 21:59:25 +0000,2023-01-31 22:16:22 +0000,Running,1007.4583170413971,sec,267.437 kcal,3145.7 m,,,,13.6961 kcal/hr·kg,,0,America/Denver,10855 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-31 22:21:18 +0000,2023-01-31 22:37:56 +0000,Running,990.4795370101929,sec,271.269 kcal,3105.39 m,,,,14.4567 kcal/hr·kg,,0,America/Denver,10938 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-01-31 22:43:05 +0000,2023-01-31 23:00:02 +0000,Running,992.478453040123,sec,268.994 kcal,3101.39 m,,,,14.2402 kcal/hr·kg,,0,America/Denver,10944 cm
HKWorkoutTypeIdentifier,Nobel’s Apple Watch,8.3,"Watch6,9","<<HKDevice: 0x283ca6d00>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-02-01 22:18:17 +0000,2023-02-01 23:47:58 +0000,Running,5258.211019158363,sec,927.69 kcal,12937.3 m,,,,9.76097 kcal/hr·kg,,0,America/Denver,4529 cm
