sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeySyncIdentifier,HKMetadataKeySyncVersion
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:31:46 +0000,2023-05-05 21:32:55 +0000,mi,0.19390216647600383,3:6B5FB9FB-B654-47B2-8420-1E4810FBA640:705015106.00653:705015175.00711:66,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:32:55 +0000,2023-05-05 21:37:39 +0000,mi,0.4247999014879252,3:26F74155-C77E-4414-9BC3-094DD1F98C8D:705015175.00711:705015459.00692:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:37:39 +0000,2023-05-05 21:39:38 +0000,mi,0.434054768075944,3:26F74155-C77E-4414-9BC3-094DD1F98C8D:705015459.00692:705015578.00714:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:39:38 +0000,2023-05-05 21:41:37 +0000,mi,0.2890753564888387,3:26F74155-C77E-4414-9BC3-094DD1F98C8D:705015578.00714:705015697.00741:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:41:37 +0000,2023-05-05 21:43:37 +0000,mi,0.32893937310692484,3:26F74155-C77E-4414-9BC3-094DD1F98C8D:705015697.00741:705015817.00860:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:43:37 +0000,2023-05-05 21:45:36 +0000,mi,0.4000074780382267,3:26F74155-C77E-4414-9BC3-094DD1F98C8D:705015817.00860:705015936.00980:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:45:36 +0000,2023-05-05 21:47:35 +0000,mi,0.44944075597333655,3:26F74155-C77E-4414-9BC3-094DD1F98C8D:705015936.00980:705016055.00986:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:47:35 +0000,2023-05-05 21:49:35 +0000,mi,0.5928712826352476,3:26F74155-C77E-4414-9BC3-094DD1F98C8D:705016055.00986:705016175.01012:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:49:35 +0000,2023-05-05 21:51:34 +0000,mi,0.6396017422577774,3:26F74155-C77E-4414-9BC3-094DD1F98C8D:705016175.01012:705016294.01018:119,1
HKQuantityTypeIdentifierDistanceCycling,Nobel’s Apple Watch,8.3,"iPhone11,8","<<HKDevice: 0x283ca14a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,9, software:8.3>",2023-05-05 21:51:34 +0000,2023-05-05 21:53:14 +0000,mi,0.4284563122614478,3:26F74155-C77E-4414-9BC3-094DD1F98C8D:705016294.01018:705016394.01049:96,1
