sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeySyncIdentifier,HKVO2MaxTestType,HKMetadataKeySyncVersion
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-12 20:21:25 +0000,2023-05-12 20:21:25 +0000,mL/min·kg,54.29,54A413AB-3570-4C38-8115-FFF9DF8EAFEE,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-13 16:43:38 +0000,2023-05-13 16:43:38 +0000,mL/min·kg,54.56,FE218DF1-516F-442B-8715-D1D195F76AF4,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-17 23:43:14 +0000,2023-05-17 23:43:14 +0000,mL/min·kg,54.4,BB027A0E-127A-4A26-B337-EA543888227F,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-18 21:33:31 +0000,2023-05-18 21:33:31 +0000,mL/min·kg,54.49,1C18F948-AF17-4B1E-B4BC-E16F20E07FF5,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-18 22:26:46 +0000,2023-05-18 22:26:46 +0000,mL/min·kg,54.52,3E50460A-848C-42E1-B881-A4806DA0797F,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-20 13:21:12 +0000,2023-05-20 13:21:12 +0000,mL/min·kg,54.77,23F6BEAE-BE4E-4150-BD55-6F34D435814C,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-21 22:03:30 +0000,2023-05-21 22:03:30 +0000,mL/min·kg,54.9,51F14EB3-05AC-45B4-80AD-04F80F604125,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-30 21:06:52 +0000,2023-05-30 21:06:52 +0000,mL/min·kg,55.09,58433B74-6A98-4FB8-9F13-01D04393D51F,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-30 21:19:54 +0000,2023-05-30 21:19:54 +0000,mL/min·kg,55.32,5A304135-F2D4-4944-8E1A-5DB2B1BCFE5E,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-05-30 21:50:48 +0000,2023-05-30 21:50:48 +0000,mL/min·kg,55.15,7C0CDBED-44D0-48F4-B0A6-86D6FAB364E0,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-06-02 00:13:00 +0000,2023-06-02 00:13:00 +0000,mL/min·kg,55.06,1AAD293C-8917-4A85-83B3-BC1A0EB88E9B,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-06-03 22:45:43 +0000,2023-06-03 22:45:43 +0000,mL/min·kg,55.15,F65924C3-43D3-4F68-8D63-419CFB931C9E,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-06-04 16:26:54 +0000,2023-06-04 16:26:54 +0000,mL/min·kg,55.37,E9FE9345-CED6-487F-9856-9524E537F7F9,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-06-17 22:44:29 +0000,2023-06-17 22:44:29 +0000,mL/min·kg,54.56,68DBB72E-24D6-42A2-8958-DAA2869CBBE6,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-06-24 16:08:20 +0000,2023-06-24 16:08:20 +0000,mL/min·kg,53.99,218B458C-9571-4909-98E5-E4B62F0E42AF,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-06-25 23:34:27 +0000,2023-06-25 23:34:27 +0000,mL/min·kg,54.35,220ECFEE-B36B-42FB-A467-6319C860075D,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-07-08 16:41:59 +0000,2023-07-08 16:41:59 +0000,mL/min·kg,54.59,BEB41565-9492-48EA-9FFB-E3267FD48424,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-07-09 12:12:04 +0000,2023-07-09 12:12:04 +0000,mL/min·kg,54.86,FE9811EC-4BF5-439B-BDA6-402586479880,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-07-11 22:52:18 +0000,2023-07-11 22:52:18 +0000,mL/min·kg,55.04,C56F8B8E-1EB8-436E-A6C3-AE93773DD975,2,1
HKQuantityTypeIdentifierVO2Max,Nobel’s Apple Watch,2665.0.8,"Watch6,9",,2023-07-15 22:26:31 +0000,2023-07-15 22:26:31 +0000,mL/min·kg,55.53,AE5AD015-FD33-4646-B222-FDE1E9572253,2,1
